roll,pitch,yaw,xaccel,yaccel,zaccel
1.085,-0.175,0.228,0.041,0.141,0.986
1.225,-0.21,0.175,0.04,0.139,0.986
1.26,-0.175,0.245,0.042,0.142,0.982
1.173,-0.228,0.262,0.04,0.141,0.986
1.242,-0.14,0.298,0.042,0.141,0.985
1.225,-0.123,0.175,0.043,0.14,0.983
1.225,-0.228,0.175,0.041,0.144,0.988
1.295,-0.157,0.228,0.043,0.137,0.984
1.26,-0.157,0.28,0.042,0.141,0.986
1.19,-0.157,0.245,0.042,0.14,0.983
1.155,-0.123,0.192,0.041,0.139,0.986
1.242,-0.105,0.192,0.04,0.139,0.984
1.225,-0.14,0.21,0.041,0.138,0.987
1.26,-0.21,0.228,0.04,0.138,0.987
1.242,-0.192,0.245,0.041,0.138,0.986
1.278,-0.192,0.192,0.042,0.139,0.985
1.242,-0.228,0.157,0.042,0.139,0.984
1.278,-0.21,0.28,0.041,0.138,0.987
1.278,-0.21,0.298,0.041,0.142,0.989
1.102,-0.087,0.21,0.042,0.138,0.986
1.347,-0.21,0.262,0.041,0.144,0.984
1.225,-0.228,0.192,0.042,0.138,0.985
1.295,-0.157,0.175,0.041,0.14,0.985
1.33,-0.245,0.298,0.042,0.14,0.986
1.242,-0.245,0.35,0.041,0.14,0.986
1.207,-0.123,0.262,0.043,0.14,0.983
1.19,-0.07,0.228,0.042,0.141,0.985
1.26,-0.123,0.21,0.042,0.138,0.986
1.365,-0.14,0.157,0.041,0.141,0.988
1.173,-0.157,0.228,0.042,0.138,0.986
1.242,-0.245,0.21,0.04,0.142,0.986
1.26,-0.105,0.21,0.041,0.138,0.986
1.312,-0.192,0.21,0.044,0.142,0.987
1.207,-0.123,0.21,0.039,0.14,0.984
1.155,-0.262,0.245,0.041,0.142,0.985
1.19,-0.245,0.298,0.042,0.139,0.986
1.207,-0.175,0.175,0.046,0.139,0.986
1.19,-0.105,0.21,0.042,0.137,0.985
1.155,-0.14,0.245,0.044,0.142,0.984
1.26,-0.157,0.228,0.041,0.138,0.986
1.19,-0.157,0.28,0.043,0.142,0.984
1.278,-0.228,0.228,0.041,0.138,0.985
1.278,-0.14,0.262,0.043,0.14,0.985
1.225,-0.105,0.262,0.042,0.136,0.986
1.242,-0.21,0.21,0.039,0.141,0.985
1.19,-0.157,0.245,0.044,0.138,0.985
1.365,-0.228,0.21,0.045,0.14,0.982
1.347,-0.192,0.21,0.041,0.141,0.986
1.295,-0.175,0.262,0.042,0.139,0.986
1.155,-0.157,0.228,0.043,0.139,0.987
1.155,-0.28,0.192,0.045,0.141,0.983
1.207,-0.21,0.262,0.042,0.14,0.986
1.12,-0.123,0.21,0.041,0.14,0.984
1.173,-0.123,0.315,0.038,0.14,0.983
1.173,-0.14,0.21,0.042,0.14,0.985
1.26,-0.21,0.21,0.041,0.139,0.983
1.225,-0.175,0.245,0.041,0.14,0.986
1.26,-0.228,0.21,0.042,0.139,0.986
1.225,-0.192,0.228,0.041,0.141,0.984
1.33,-0.245,0.28,0.043,0.138,0.986
1.242,-0.262,0.21,0.043,0.138,0.984
1.12,-0.105,0.21,0.043,0.14,0.984
1.26,-0.123,0.245,0.041,0.136,0.984
1.26,-0.157,0.228,0.039,0.139,0.985
1.33,-0.262,0.228,0.042,0.139,0.984
1.19,-0.14,0.262,0.042,0.14,0.986
1.19,-0.052,0.262,0.045,0.142,0.984
1.102,-0.175,0.262,0.041,0.139,0.983
1.19,-0.157,0.21,0.042,0.142,0.985
1.155,-0.175,0.245,0.042,0.141,0.984
1.33,-0.157,0.28,0.042,0.142,0.984
1.19,-0.192,0.192,0.042,0.14,0.984
1.225,-0.123,0.228,0.041,0.137,0.984
1.26,-0.175,0.21,0.042,0.139,0.986
1.312,-0.21,0.192,0.043,0.14,0.985
1.26,-0.192,0.28,0.041,0.14,0.987
1.26,-0.157,0.157,0.042,0.14,0.985
1.19,-0.228,0.298,0.041,0.139,0.985
1.312,-0.21,0.245,0.042,0.14,0.985
1.295,-0.175,0.245,0.043,0.139,0.986
1.102,-0.21,0.21,0.041,0.14,0.984
1.242,-0.245,0.228,0.044,0.14,0.986
1.225,-0.228,0.28,0.043,0.139,0.983
1.26,-0.192,0.228,0.041,0.137,0.983
1.26,-0.192,0.245,0.04,0.139,0.985
1.26,-0.157,0.157,0.041,0.137,0.986
1.26,-0.21,0.262,0.042,0.141,0.985
1.138,-0.175,0.192,0.043,0.137,0.985
1.242,-0.14,0.21,0.043,0.141,0.986
1.295,-0.14,0.192,0.044,0.138,0.987
1.225,-0.175,0.28,0.045,0.141,0.985
1.278,-0.175,0.192,0.04,0.141,0.986
1.242,-0.245,0.262,0.04,0.14,0.985
1.225,-0.245,0.21,0.042,0.141,0.987
1.085,-0.157,0.228,0.041,0.139,0.986
1.278,-0.105,0.245,0.041,0.139,0.986
1.278,-0.228,0.245,0.042,0.141,0.985
1.225,-0.07,0.192,0.042,0.139,0.985
1.207,-0.262,0.228,0.042,0.139,0.984
1.26,-0.21,0.245,0.042,0.14,0.982
1.225,-0.14,0.262,0.042,0.138,0.983
1.33,-0.192,0.228,0.044,0.141,0.986
1.26,-0.228,0.245,0.043,0.141,0.983
1.295,-0.228,0.228,0.041,0.139,0.986
1.207,-0.21,0.228,0.04,0.14,0.986
1.365,-0.175,0.298,0.042,0.14,0.985
1.225,-0.192,0.228,0.043,0.142,0.983
1.242,-0.157,0.21,0.043,0.141,0.984
1.207,-0.14,0.28,0.04,0.14,0.983
1.242,-0.21,0.192,0.042,0.139,0.986
1.26,-0.245,0.157,0.043,0.14,0.984
1.225,-0.105,0.175,0.039,0.14,0.985
1.33,-0.21,0.245,0.045,0.139,0.986
1.225,-0.21,0.245,0.041,0.141,0.985
1.207,-0.157,0.245,0.043,0.142,0.985
1.242,-0.087,0.228,0.044,0.141,0.986
1.138,-0.105,0.228,0.041,0.14,0.985
1.26,-0.175,0.21,0.043,0.139,0.983
1.26,-0.192,0.21,0.043,0.14,0.986
1.26,-0.175,0.298,0.041,0.139,0.986
1.278,-0.087,0.262,0.042,0.141,0.986
1.26,-0.157,0.21,0.044,0.139,0.985
1.19,-0.21,0.262,0.041,0.142,0.985
1.173,-0.105,0.21,0.041,0.142,0.985
1.12,-0.14,0.262,0.043,0.14,0.984
1.155,-0.14,0.21,0.043,0.138,0.985
1.295,-0.192,0.262,0.041,0.14,0.983
1.225,-0.157,0.14,0.042,0.141,0.987
1.19,-0.14,0.228,0.039,0.139,0.986
1.312,-0.28,0.192,0.041,0.14,0.986
1.33,-0.14,0.228,0.041,0.14,0.984
1.225,-0.175,0.245,0.041,0.14,0.987
1.242,-0.175,0.262,0.041,0.141,0.985
1.312,-0.21,0.175,0.041,0.14,0.985
1.207,-0.228,0.157,0.047,0.141,0.987
1.225,-0.21,0.192,0.041,0.14,0.987
1.207,-0.245,0.228,0.043,0.141,0.984
1.207,-0.28,0.262,0.041,0.139,0.985
1.19,-0.123,0.315,0.04,0.139,0.987
1.207,-0.123,0.298,0.044,0.14,0.986
1.242,-0.123,0.192,0.042,0.138,0.986
1.242,-0.262,0.245,0.045,0.14,0.985
1.26,-0.157,0.262,0.043,0.141,0.986
1.173,-0.21,0.175,0.043,0.141,0.983
1.155,-0.228,0.28,0.041,0.141,0.986
1.278,-0.14,0.192,0.04,0.138,0.985
1.225,-0.21,0.245,0.044,0.14,0.986
1.173,-0.087,0.245,0.042,0.141,0.985
1.295,-0.228,0.192,0.042,0.139,0.985
1.225,-0.192,0.228,0.043,0.139,0.987
1.295,-0.245,0.228,0.042,0.139,0.986
1.173,-0.157,0.262,0.042,0.138,0.984
1.33,-0.192,0.28,0.04,0.141,0.986
1.365,-0.157,0.262,0.041,0.14,0.984
1.225,-0.228,0.087,0.042,0.141,0.988
1.242,-0.228,0.298,0.045,0.14,0.984
1.312,-0.192,0.245,0.043,0.142,0.984
1.26,-0.245,0.28,0.039,0.137,0.985
1.173,-0.21,0.228,0.041,0.141,0.983
1.173,-0.087,0.262,0.043,0.139,0.985
1.242,-0.14,0.28,0.041,0.14,0.984
1.225,-0.175,0.262,0.041,0.138,0.986
1.225,-0.175,0.192,0.041,0.138,0.986
1.242,-0.105,0.245,0.042,0.139,0.985
1.225,-0.192,0.245,0.041,0.139,0.987
1.225,-0.14,0.228,0.041,0.137,0.987
1.19,-0.262,0.28,0.042,0.141,0.985
1.242,-0.105,0.245,0.041,0.14,0.986
1.138,-0.21,0.192,0.041,0.14,0.985
1.242,-0.175,0.262,0.041,0.138,0.986
1.312,-0.245,0.21,0.042,0.139,0.985
1.33,-0.192,0.21,0.043,0.138,0.984
1.295,-0.175,0.262,0.045,0.141,0.986
1.278,-0.21,0.228,0.041,0.141,0.985
1.26,-0.105,0.192,0.043,0.14,0.986
1.225,-0.157,0.14,0.042,0.14,0.984
1.242,-0.192,0.228,0.045,0.139,0.984
1.19,-0.192,0.228,0.041,0.14,0.986
1.173,-0.105,0.245,0.039,0.139,0.984
1.138,-0.157,0.21,0.04,0.14,0.983
1.347,-0.123,0.192,0.043,0.139,0.986
1.26,-0.21,0.228,0.044,0.14,0.986
1.173,-0.192,0.21,0.041,0.139,0.984
1.278,-0.157,0.14,0.041,0.139,0.985
1.207,-0.175,0.21,0.044,0.14,0.986
1.085,-0.21,0.21,0.043,0.138,0.986
1.242,-0.087,0.157,0.041,0.143,0.985
1.278,-0.21,0.245,0.04,0.137,0.982
1.26,-0.192,0.228,0.043,0.138,0.986
1.225,-0.105,0.262,0.041,0.139,0.984
1.26,-0.228,0.157,0.042,0.139,0.983
1.242,-0.245,0.245,0.043,0.141,0.986
1.173,-0.228,0.175,0.043,0.14,0.985
1.278,-0.14,0.262,0.041,0.143,0.972
1.242,-0.21,0.21,0.044,0.139,0.979
1.33,-0.175,0.228,0.045,0.139,0.988
1.155,-0.14,0.28,0.042,0.137,0.988
1.085,-0.105,0.175,0.045,0.14,0.987
1.312,-0.245,0.245,0.041,0.14,0.985
1.19,-0.157,0.298,0.042,0.138,0.983
1.155,-0.21,0.175,0.042,0.14,0.984
1.242,-0.21,0.245,0.041,0.143,0.986
1.19,-0.157,0.262,0.038,0.139,0.984
1.138,-0.228,0.21,0.043,0.138,0.985
1.347,-0.175,0.21,0.039,0.137,0.985
1.138,-0.157,0.298,0.042,0.139,0.984
1.173,-0.21,0.192,0.042,0.141,0.983
1.207,-0.228,0.228,0.043,0.14,0.983
1.242,-0.192,0.228,0.042,0.137,0.984
1.295,-0.157,0.245,0.041,0.142,0.987
1.26,-0.245,0.175,0.044,0.141,0.984
1.225,-0.192,0.262,0.042,0.141,0.984
1.33,-0.228,0.28,0.044,0.139,0.982
1.295,-0.21,0.245,0.041,0.139,0.986
1.26,-0.052,0.21,0.044,0.139,0.985
1.312,-0.192,0.35,0.041,0.141,0.986
1.278,-0.175,0.28,0.042,0.139,0.985
1.242,-0.21,0.228,0.04,0.14,0.986
1.312,-0.192,0.245,0.04,0.144,0.987
1.225,-0.175,0.262,0.043,0.139,0.986
1.242,-0.245,0.192,0.041,0.142,0.988
1.173,-0.157,0.262,0.043,0.139,0.984
1.278,-0.228,0.262,0.039,0.142,0.983
1.155,-0.175,0.228,0.043,0.141,0.984
1.295,-0.245,0.21,0.041,0.141,0.986
1.225,-0.228,0.192,0.041,0.139,0.986
1.19,-0.087,0.245,0.042,0.139,0.985
1.12,-0.14,0.192,0.04,0.138,0.983
1.225,-0.175,0.245,0.041,0.14,0.984
1.242,-0.105,0.21,0.042,0.142,0.986
1.26,-0.157,0.192,0.045,0.142,0.985
1.242,-0.105,0.192,0.041,0.138,0.985
1.347,-0.192,0.228,0.042,0.141,0.985
1.12,-0.123,0.262,0.044,0.139,0.986
1.347,-0.21,0.262,0.04,0.141,0.98
1.452,-0.543,0.175,0.042,0.143,0.981
1.803,-0.735,0.123,0.042,0.143,0.98
1.295,-0.157,0.262,0.042,0.136,0.987
1.225,-0.157,0.298,0.041,0.141,0.985
-0.472,1.225,0.228,0.046,0.135,1.0
-1.452,2.555,0.368,0.044,0.146,0.976
5.128,-3.973,0.14,0.038,0.138,0.991
2.608,-1.138,0.21,0.039,0.132,1.095
1.732,-0.245,0.28,0.051,0.16,0.985
0.788,0.157,0.28,0.046,0.14,0.994
1.312,-0.228,0.28,0.037,0.138,0.981
0.752,0.42,0.245,0.04,0.141,0.983
-0.788,1.487,0.228,0.056,0.135,0.973
1.645,-0.822,-1.715,0.001,0.121,0.977
0.7,-0.892,-8.417,0.054,0.083,0.968
0.875,-4.113,-2.818,0.048,0.211,1.037
-4.358,-13.177,0.175,0.01,0.124,1.038
-16.782,-10.762,-5.512,0.072,0.11,0.981
-3.447,-18.253,-1.33,0.143,0.109,0.943
-0.35,-19.968,5.985,0.163,0.088,1.022
-6.3,-13.37,4.585,0.1,0.085,0.972
-10.99,-7.997,2.38,0.128,0.1,0.983
-12.792,-4.83,-4.532,0.104,0.105,0.964
-2.1,0.507,-7.665,0.122,0.1,0.97
-1.278,1.05,-5.128,0.111,0.08,0.961
0.49,-3.325,-2.852,0.107,0.076,1.002
5.687,-6.213,-1.768,0.117,0.089,1.056
3.36,2.678,-0.543,0.124,0.071,1.096
-4.2,18.288,2.747,0.115,0.112,1.033
0.245,22.505,1.89,0.092,0.109,0.988
0.245,9.573,-2.047,0.102,0.102,0.964
0.315,-4.41,-2.485,0.109,0.098,0.987
-1.54,-2.31,-7.805,0.097,0.086,1.039
-0.123,3.605,-7.735,0.101,0.081,1.03
2.415,2.922,-4.235,0.101,0.069,1.028
2.328,4.69,-1.925,0.077,0.083,1.083
2.1,9.8,-2.537,0.043,0.104,1.071
-5.302,16.257,-3.57,0.061,0.08,1.028
-14.42,21.0,-11.392,0.062,0.083,0.991
-1.242,16.468,-12.32,0.051,0.093,0.929
1.925,8.208,-11.725,0.05,0.057,0.953
4.392,9.852,-6.003,0.055,0.008,0.894
2.362,13.563,-5.758,0.019,-0.006,0.8
1.803,6.247,-9.24,-0.022,-0.006,0.804
4.463,-8.977,-15.26,-0.06,0.035,0.884
0.052,-11.813,-13.3,-0.055,0.018,0.939
-4.725,1.347,-6.51,-0.032,0.029,0.968
-10.587,3.763,-7.945,-0.042,0.052,0.96
-4.742,0.822,-9.047,-0.011,0.042,0.982
-9.38,-3.325,-9.625,-0.012,0.033,0.979
-5.477,-5.617,-9.94,0.009,0.034,0.973
-3.43,-7.14,-8.873,0.013,0.022,0.985
-7.735,-10.815,-10.57,0.006,0.016,1.003
-5.88,-10.693,-11.462,0.025,0.01,1.017
-5.023,-5.25,-7.56,0.002,-0.002,1.016
-6.195,-1.663,-5.25,0.019,-0.023,1.01
4.778,-1.138,-5.722,0.012,-0.021,1.014
2.922,-3.027,-2.572,0.022,-0.039,1.007
1.347,-2.1,0.087,0.033,-0.017,0.979
1.033,-2.293,-0.49,0.035,0.001,0.977
1.487,-2.713,-4.025,0.054,0.008,0.957
0.315,-7.49,-8.102,0.021,0.021,0.982
0.228,-8.12,-12.915,0.044,0.028,0.961
-1.207,-10.885,-19.058,0.041,0.018,1.045
-22.365,4.988,-25.095,0.004,-0.037,1.148
-21.892,11.602,-26.968,0.042,-0.027,1.02
3.868,0.665,-29.802,0.032,-0.007,0.845
15.925,-15.592,-19.74,0.074,-0.352,2.992
18.007,22.225,1.312,0.073,-0.087,1.386
2.765,-1.558,-11.97,0.088,0.096,0.686
40.268,-9.783,7.49,0.087,-0.1,1.042
5.932,3.36,13.913,0.121,-0.011,1.014
14.613,3.92,8.365,0.044,0.047,0.917
23.292,-6.807,12.39,-0.095,0.144,1.069
15.96,0.577,8.733,0.153,0.181,1.182
6.895,6.93,5.145,0.034,0.111,1.086
-3.483,3.01,-0.437,0.012,0.102,1.035
-7.105,2.293,-2.118,0.041,0.058,1.019
-6.177,1.977,-0.157,0.045,0.06,0.949
0.035,-3.745,0.368,0.055,0.038,0.999
-1.592,-8.05,2.223,0.023,0.058,0.964
-3.447,-1.418,5.722,0.036,0.051,0.978
-1.82,-3.938,8.068,0.082,0.036,1.0
-2.328,-8.085,6.423,0.008,0.044,1.074
-7.0,-0.98,-2.135,0.006,0.06,1.012
-4.025,4.148,-3.29,0.08,0.02,0.973
